line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty,product_viz,partner_viz
1,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Bierre,bière,20,208,pintes,pintes,.096153848,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1055,bière,1,x,Bière,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1216,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,pinte,1,litres,.95214599,0,198.04637,,0,0,0,1,1,0,20,1,0,-3.5762787e-07,autres produits,Ports francs et petites îles
2,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Bois en barres d'anspect,bois en barres d'anspect,108,72,pièces,pièces,1.5,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1,barres d'anspect en bois,7,,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,pièces,1,nombre,1,0,72,1.5,0,0,0,1,1,0,108,0,0,0,autres produits,Ports francs et petites îles
3,National toutes directions partenaires manquants,1789,La Rochelle,Iles Françaises de l'Amérique,Îles françaises de l'Amérique,Imports,Cacao,cacao,3522,7045,livres,livres,.49992904,1789,La Rochelle,La Rochelle,,,0,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Imports_1789.csv,ANOM Col F 2B 14,2,429433,,,,Guillaume Daudin,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Îles françaises de l'Amérique,Amériques,Îles françaises de l'Amérique,Colonies,Îles,Other outre-mers,2118,cacao,0b,x,,0,Hors Canada,,0,not a medical product,1752,Cacao,Pas grain (0),not raw cotton,cocoa,Not coffee,Sans lien avec la porcelaine,out,Cacao et chocolat,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.48949999,0,3448.5273,,0,0,0,1,1,0,3522,1,0,-.000091522932,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)"
3,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Bois en planches,bois en planches,8398,8398,pièces,pièces,1,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,12,planches de bois,6b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,122,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,pièces,1,nombre,1,0,8398,1,0,0,0,1,1,0,8398,0,0,0,autres produits,Ports francs et petites îles
4,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Marchandises à la valeur,marchandises à la valeur,181,,,unité manquante,,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,Marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,257,marchandises à l'estimation,9b,x,,0,Peut-être Canada,,0,not a medical product,510,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,181,0,0,,autres produits,Ports francs et petites îles
5,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Poisson salé divers,poisson salé divers,358,,,unité manquante,,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,Marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,13,poisson salé,0a,x,,0,Pêche d'Amérique avant 1763,,1,not a medical product,590,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,358,0,0,,autres produits,Ports francs et petites îles
6,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Sardines,sardines,1193,1766,livres,livres,.67553794,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,15500 en nombre,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,194,sardines,0a,x,,1,Autres pêches,,1,not a medical product,165,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,864.45697,,0,0,0,1,1,0,1193,1,0,-8.8214874e-06,autres produits,Ports francs et petites îles
7,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Sel,sel,6690,501750,livres,livres,.013333334,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1548,sel,2,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1262,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Sel,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,245606.63,,0,0,0,1,1,0,6690,1,0,-.00016199425,sel,Ports francs et petites îles
8,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Vin rouge,vin rouge,2790,69.690002,muids,muids,40.034435,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,443,vin rouge,1,x,Vin de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,760,Vin ; de France,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Vins divers,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,muids,1,litres,268.21439,1,18691.861,,0,0,0,1,1,0,2790,1,0,.00010813889,eau-de-vie et vins divers,Ports francs et petites îles
9,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Vin blanc,vin blanc,22680,567,muids,muids,40,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,204,vin blanc,1,x,Vin de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,264,Vin ; de France,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Vins divers,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,muids,1,litres,268.21439,1,152077.56,,0,0,0,1,1,0,22680,1,0,0,eau-de-vie et vins divers,Ports francs et petites îles
