line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty,product_viz,partner_viz
1,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bestiaux beuf,bestiaux bœuf,15120,84,pièces,pièces,180,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1,bœuf,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,417,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,84,180,0,0,0,1,1,0,15120,0,0,0,autres produits,Ports francs et petites îles
2,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Cochons,cochon,19944,277,pièces,pièces,72,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,9,porcs,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,106,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,277,72,0,0,0,1,1,0,19944,0,0,0,autres produits,Ports francs et petites îles
3,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Chevaux,chevaux,1800,18,pièces,pièces,100,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,461,chevaux,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,530,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chevaux et bêtes de somme,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,18,100,0,0,0,1,1,0,1800,0,0,0,autres produits,Ports francs et petites îles
4,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Mouton,moutons,6000,1000,pièces,pièces,6,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,10,moutons,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,379,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,1000,6,0,0,0,1,1,0,6000,0,0,0,autres produits,Ports francs et petites îles
5,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Vaches,vaches,38880,324,pièces,pièces,120,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,272,vaches,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,388,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,324,120,0,0,0,1,1,0,38880,0,0,0,autres produits,Ports francs et petites îles
6,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Veaux,veaux,6500,260,pièces,pièces,25,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,135,veaux,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,195,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,260,25,0,0,0,1,1,0,6500,0,0,0,autres produits,Ports francs et petites îles
6,National toutes directions partenaires manquants,1789,La Rochelle,Étranger,Étranger,Exports,Caffé,café,2622875,2497979,livres,livres,1.0499988,1789,La Rochelle,La Rochelle,Colonies françaises de l'Amérique,,0,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,72802000,,,,Guillaume Daudin,,,,,,,,,,,La Rochelle,Aunis,Aunis,Colonies françaises de l'Amérique,Colonies Françaises,Monde hors colonies,Monde,,Monde,Divers,Not Outre-mers,962,café,0b,x,,0,Hors Canada,,0,not a medical product,1355,Café,Pas grain (0),not raw cotton,coffee,coffee,Sans lien avec la porcelaine,out,Café,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.48949999,0,1222760.6,,0,0,0,1,1,0,2622875,1,0,.14693594,autres produits,Reste du monde
7,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Beurre,beurre,477.00003,795,livres,livres,.60000002,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1734,beurre,0a,x,,0,Hors Canada,,0,not a medical product,1868,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,389.1525,1.2257407,0,0,0,1,1,1,477,0,0,-.000018954277,autres produits,Ports francs et petites îles
8,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bois à bruler,bois à brûler,800,,,unité manquante,,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,47,bois pour brûler,3,x,,0,Peut-être Canada,,0,not a medical product,509,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,800,0,0,,autres produits,Ports francs et petites îles
9,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bois de construction,bois de construction,1603,,,unité manquante,,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,Poitou,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,140,bois pour construction,6b,x,,0,Hors Canada,,0,not a medical product,409,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,1603,0,0,,autres produits,Ports francs et petites îles
