"region_depart","province_depart","etat_depart","sousetat_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","pointcall_province","substate_destination","state_destination","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class","ship_flag_standardized_fr"
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-20,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001614N",Rose,"Robinson, William",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-09-01,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000614N",Prince of Wales,Kerwin,,,,,Passagers,,,,450,135,0,"30",tx,[21-50],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-08-14,Santander,Espagne,Etranger,,,Espagne,"0007815N",Saint Jean Baptiste,"Darretche, Gratien",France,,Saint-Jean-de-Luz ,Guyenne,Brai,Planches,Goudron,,144,480,0,"20",tx,[1-20],français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-19,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0009845N",Bonne Intention,"Kirkaldy, John",Grande-Bretagne,Angleterre,Deal,,,,,,135,450,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-04-15,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000361N",Joseph,"Pigg, Daniel",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-03-12,Königsberg / Kaliningrad,Prusse,Etranger,,,Prusse,"0009208N",Six Bons Amis,"Jansen, Onne",Prusse,Frise orientale,Emden,,Sucre,Vin,,,1 635,6 540,3 129,"109",tx,[101-200],prussien
Picardie,Picardie,France,,Calais,Calais,1787-05-29,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000127N",Paix,"Dunez, Jean",France,,Calais,Picardie,,,,,135,450,0,,,,français
Picardie,Picardie,France,,Calais,Calais,1787-01-22,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003765N",Azarc,Midelton,Grande-Bretagne,Angleterre,Douvres,,,,,,135,150,45,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Fécamp,Fécamp,1787-04-03,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0002766N",Jeune André,"Spandermann, Blaust Jacob",,,,,,,,,720,117,120,"20",tx,[1-20],hollandais
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-09-15,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003607N",Hope,Taylor,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-16,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000460N",Princess Royale,Keyss,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,450,135,0,"30",tx,[21-50],britannique
Normandie,Normandie,France,,Dieppe,Dieppe,1787-05-22,Holmestrand,Danemark,Etranger,,Norvège,Danemark,"0003477N",Sharen Catarina,"Nansen, Aubior",,,,,,,,,1 830,549,0,"90",tx,[51-100],danois
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-04-06,"Terre-Neuve, île de",Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0007668N",Bonne Malouine,"Louais, Jacques Alexandre",France,,Saint-Malo,Bretagne,Pêche à la morue,Sel,,,540,1 800,0,"100",tx,[51-100],français
Normandie,Normandie,France,,Rouen,Rouen,1787-07-07,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0008790N",Amitié,"Hesketh, Guillaume",,,,,,,,,3 240,972,390,"90",tx,[51-100],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-06-23,Saint-Pétersbourg,Russie,Etranger,,Russie - mer Baltique,Russie,"0012603N",Marie,"Dujardin, Louis Pierre",,,,,,,,,1 830,549,0,"190",tx,[101-200],français
Provence,Provence,France,,Saint-Tropez,Saint-Tropez,1787-09-26,Bordighera ,,Etranger,,,République de Gênes,"0014426N",Vierge de la Garde,"Aurigou, Barthélémy",République de Gênes,,Bordighera ,,Vin,,,,0,0,0,"5",tx,[1-20],génois
Bretagne,Bretagne,France,,Lorient,Lorient,1787-06-28,Saint-Pétersbourg,Russie,Etranger,,Russie - mer Baltique,Russie,"0012162N",Warren,"Sheldon, Pardon",Etats-Unis d'Amérique,Rhode Island,Rhode Island,,Sel,,,,2 796,0,0,"220",tx,[201-500],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-08,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001628N",Lively,Paridge,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-08-17,Guernesey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0010036N",Deux Freres,"Hodgson, John",Grande-Bretagne,Irlande,Cork,,Vin,Diverses marchandises,,,969,2 100,525,"35",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001099N",Rumbler,"Alley, John",,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-14,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000445N",Best of the Two,Deeprose,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Granville,Granville,1787-06-23,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0000387N",Fortune,"Morand, Philippe",Grande-Bretagne,Iles anglo-normandes,Jersey,,Lest,,,,390,0,0,"6",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-11-26,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0011989N",Demoiselle Adelaïde,"Garves, Albert",Brême,,Brême,,Sucre,Diverses marchandises,Café,,2 130,3 870,2 250,"142",tx,[101-200],brémois
