"region_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class"
Flandre,Dunkerque,Dunkerque,1787-05-23,Angleterre (destination simulée pour),Angleterre,Etranger,"0001121N",Pink,"Dyer, Jean",Grande-Bretagne,Angleterre,Burnham,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Granville,Granville,1787-02-22,Jersey,Angleterre,Etranger,"0000385N",Fortune,"Richardson, Jean",Grande-Bretagne,Iles anglo-normandes,Jersey,,Passagers,,,,390,0,0,"16",tx,[1-20]
Normandie,Fécamp,Fécamp,1787-02-22,Grands Bancs de Terre-Neuve,,Etranger,"0000547N",Ville de Fécamp,"Rouget, Pierre Jean",,,,,Pêche à la morue,,,,549,1 830,0,"57",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-07-21,Londres,Angleterre,Etranger,"0001437N",Marchand de Londres,"Martin, Joseph",Grande-Bretagne,Angleterre,Londres,,Eau-de-vie,Diverses marchandises,Diverses marchandises,Diverses marchandises,135,450,0,"100",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-02-14,Cowes,Angleterre,Etranger,"0006936N",Providence,"Braily, Joseph",,,,,,,,,117,390,0,"26",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-06,Angleterre,Angleterre,Etranger,"0001431N",Succes,Fynams,,,,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-03-05,Douvres,Angleterre,Etranger,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,
Flandre,Dunkerque,Dunkerque,1787-09-28,Poole,Angleterre,Etranger,"0001957N",Saint Jacques,"Garnier, Charles",France,,Nantes,Bretagne,Blé,,,,450,135,0,"150",tx,[101-200]
Provence,Saint-Tropez,Saint-Tropez,1787-12-05,Nice,,Etranger,"0014527N",Jésus Marie Joseph,"Fabre, Louis Simon",France,,Sainte-Maxime,Provence,Vin,Lest,Lest,Lest,0,0,0,"20",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-19,Angleterre,Angleterre,Etranger,"0000460N",Princess Royale,Keyss,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,135,450,0,"20",tx,[1-20]
